route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
806,RINFRA-801-1_Weekday-17,46662942,,0,604,806NB_160306
806,RINFRA-801-1_Weekday-17,46662943,,0,655,806NB_160306
806,RINFRA-801-1_Weekday-17,46662944,,0,654,806NB_160306
806,RINFRA-801-1_Weekday-17,46662945,,0,652,806NB_160306
806,RINFRA-801-1_Weekday-17,46662946,,0,653,806NB_160306
806,RINFRA-801-1_Weekday-17,46662947,,0,602,806NB_160306
806,RINFRA-801-1_Weekday-17,46662948,,0,656,806NB_160306
806,RINFRA-801-1_Weekday-17,46662949,,0,601,806NB_160306
806,RINFRA-801-1_Weekday-17,46662950,,0,603,806NB_160306
806,RINFRA-801-1_Weekday-17,46662951,,0,604,806NB_160306
806,RINFRA-801-1_Weekday-17,46662952,,0,653,806NB_160306
806,RINFRA-801-1_Weekday-17,46662953,,0,655,806NB_160306
806,RINFRA-801-1_Weekday-17,46662954,,0,654,806NB_160306
806,RINFRA-801-1_Weekday-17,46662955,,0,656,806NB_160306
806,RINFRA-801-1_Weekday-17,46662956,,0,601,806NB_160306
806,RINFRA-801-1_Weekday-17,46662957,,0,602,806NB_160306
806,RINFRA-801-1_Weekday-17,46662958,,0,603,806NB_160306
806,RINFRA-801-1_Weekday-17,46662959,,0,604,806NB_160306
806,RINFRA-801-1_Weekday-17,46662960,,0,653,806NB_160306
806,RINFRA-801-1_Weekday-17,46662961,,0,654,806NB_160306
806,RINFRA-801-1_Weekday-17,46662962,,0,666,806NB_160306
806,RINFRA-801-1_Weekday-17,46662963,,0,656,806NB_160306
806,RINFRA-801-1_Weekday-17,46662964,,0,655,806NB_160306
806,RINFRA-801-1_Weekday-17,46662965,,0,667,806NB_160306
806,RINFRA-801-1_Weekday-17,46662966,,0,668,806NB_160306
806,RINFRA-801-1_Weekday-17,46662967,,0,669,806NB_160306
806,RINFRA-801-1_Weekday-17,46662968,,0,672,806NB_160306
806,RINFRA-801-1_Weekday-17,46662969,,0,670,806NB_160306
806,RINFRA-801-1_Weekday-17,46662970,,0,666,806NB_160306
806,RINFRA-801-1_Weekday-17,46662971,,0,671,806NB_160306
806,RINFRA-801-1_Weekday-17,46662972,,0,665,806NB_160306
806,RINFRA-801-1_Weekday-17,46662973,,0,667,806NB_160306
806,RINFRA-801-1_Weekday-17,46662974,,0,668,806NB_160306
806,RINFRA-801-1_Weekday-17,46662975,,0,669,806NB_160306
806,RINFRA-801-1_Weekday-17,46662976,,0,670,806NB_160306
806,RINFRA-801-1_Weekday-17,46662977,,0,652,806NB_160306
806,RINFRA-801-1_Weekday-17,46662978,,0,672,806NB_160306
806,RINFRA-801-1_Weekday-17,46662979,,0,665,806NB_160306
806,RINFRA-801-1_Weekday-17,46662980,,0,671,806NB_160306
806,RINFRA-801-1_Weekday-17,46662981,,0,603,806NB_160306
806,RINFRA-801-1_Weekday-17,46662982,,1,663,806SB_160306
806,RINFRA-801-1_Weekday-17,46662983,,0,667,806NB_160306
806,RINFRA-801-1_Weekday-17,46662984,,0,668,806NB_160306
806,RINFRA-801-1_Weekday-17,46662985,,0,673,806NB_160306
806,RINFRA-801-1_Weekday-17,46662986,,0,653,806NB_160306
806,RINFRA-801-1_Weekday-17,46662987,,1,672,806SB_160306
801,RINFRA-801-1_Weekday-17,46662988,,1,106,801SB_120323
801,RINFRA-801-1_Weekday-17,46662989,,1,105,801SB_120323
806,RINFRA-801-1_Weekday-17,46662990,,0,656,806NB_160306
806,RINFRA-801-1_Weekday-17,46662991,,0,655,806NB_160306
806,RINFRA-801-1_Weekday-17,46662992,,0,654,806NB_160306
801,RINFRA-801-1_Weekday-17,46662993,,0,101,801NB_120323
806,RINFRA-801-1_Weekday-17,46662994,,0,665,806NB_160306
806,RINFRA-801-1_Weekday-17,46662995,,0,666,806NB_160306
806,RINFRA-801-1_Weekday-17,46662996,,0,667,806NB_160306
801,RINFRA-801-1_Weekday-17,46662997,,0,114,801NB_120323
801,RINFRA-801-1_Weekday-17,46662998,,1,102,801SB_120323
801,RINFRA-801-1_Weekday-17,46662999,,0,105,801NB_120323
801,RINFRA-801-1_Weekday-17,46663000,,0,107,801NB_120323
801,RINFRA-801-1_Weekday-17,46663001,,0,102,801NB_120323
801,RINFRA-801-1_Weekday-17,46663002,,0,104,801NB_120323
801,RINFRA-801-1_Weekday-17,46663003,,0,106,801NB_120323
801,RINFRA-801-1_Weekday-17,46663004,,0,103,801NB_120323
